stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
80,北条（なかよしの家）,筑波地区,茨城県つくば市北条4408-3,36.174287,140.093765
81,大池・平沢官衙入口,筑波地区,茨城県つくば市北条1473,36.174203,140.101896
82,大池公園,筑波地区,茨城県つくば市北条1477-1,36.174,140.103243
83,清水坪,筑波地区,茨城県つくば市山口785,36.173962,140.112461
84,泉子育て観音,筑波地区,茨城県つくば市泉2348,36.173858,140.078582
85,筑波交流センター,筑波地区,茨城県つくば市北条5060,36.173834,140.087759
86,北条鍼灸整骨院,筑波地区,茨城県つくば市北条4453-8,36.1731188,140.0917215
87,旧田水山小学校,筑波地区,茨城県つくば市水守394-1,36.171969,140.067735
88,大池東,筑波地区,茨城県つくば市北条1578-2,36.171045,140.104062
89,入会団地,筑波地区,茨城県つくば市安食2518-54,36.170596,140.024056
90,新寺,筑波地区,茨城県つくば市山口369,36.17044,140.113869
91,安食北,筑波地区,茨城県つくば市安食1609-1,36.169768,140.017648
92,水守西,筑波地区,茨城県つくば市水守1550-1,36.168591,140.054464
93,水守研修センター,筑波地区,茨城県つくば市水守1089,36.168391,140.064537
94,水守（つくば総合福祉センター）,筑波地区,茨城県つくば市水守1189-5,36.166889,140.056085
95,児童遊園,筑波地区,茨城県つくば市水守1565-2,36.166166,140.060001
96,水守南,筑波地区,茨城県つくば市水守1541-8,36.165834,140.063932
97,小和田,筑波地区,茨城県つくば市小和田598,36.165782,140.10905
98,南作谷東,筑波地区,茨城県つくば市作谷3414-53,36.164221,140.036348
99,北条新田,筑波地区,茨城県つくば市北条2225,36.164175,140.105159
100,小和田南,筑波地区,茨城県つくば市小和田563,36.163896,140.112667
101,安食南,筑波地区,茨城県つくば市安食1147,36.16371,140.014959
102,南作谷公民館,筑波地区,茨城県つくば市作谷3439-13,36.163565,140.03151
103,山木福祉会館,筑波地区,茨城県つくば市山木1426,36.163454,140.073728
104,君島入口,筑波地区,茨城県つくば市君島369-1,36.163227,140.087646
105,南作谷十字路,筑波地区,茨城県つくば市作谷3453-22,36.162697,140.02574
106,白水団地,筑波地区,茨城県つくば市安食2536-99,36.162113,140.021706
107,下作谷,筑波地区,茨城県つくば市作谷2540-1,36.16202,140.042701
108,安食前坪,筑波地区,茨城県つくば市安食1060,36.161667,140.013846
109,つくばウェルネスパーク,筑波地区(特例),茨城県つくば市山木1562,36.16143,140.0713
110,筑波北部工業団地東,筑波地区,茨城県つくば市和台10,36.160114,140.061058
111,筑波北部工業団地北,筑波地区,茨城県つくば市和台25,36.159583,140.056448
112,小田中部横町,筑波地区,茨城県つくば市小田2953,36.156081,140.108719
113,水守（なでしこ前）,筑波地区,茨城県つくば市水守2228-2,36.155161,140.05614
114,小田中部,筑波地区,茨城県つくば市小田3021,36.154786,140.110959
115,龍勝寺,筑波地区,茨城県つくば市小田2776-2,36.153958,140.107169
116,旧小田小学校（小田小交流プラザ）,筑波地区,茨城県つくば市小田3058,36.153887,140.11303
117,北部工業団地中央,筑波地区,茨城県つくば市和台40,36.153727,140.04962
118,小田城跡入口,筑波地区,茨城県つくば市小田3095,36.152299,140.114426
119,長久寺,筑波地区,茨城県つくば市小田2715,36.151927,140.106861
120,小田東部,筑波地区,茨城県つくば市小田3178,36.149728,140.115663
121,北太田,筑波地区,茨城県つくば市北太田401-2,36.148782,140.097726
122,大形,筑波地区,茨城県つくば市大形411-2,36.142623,140.126793
123,下大島入口,筑波地区,茨城県つくば市下大島835-5,36.1352,140.13572
